hssd_id,category,primary_direction_kind,annotation_kind,axis,is_semantic,is_strict_positive_front,confidence,validation_status,outcome
0001fb06b075a743e6289236cf049df3ad5dfa9c,showerhead,,down,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_down
000bbe302b53fd2904e7ae92e1516a18f29de02d,candlestick,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
0022fa6ee5a44330e765488919803155b1a9e88c,ashcan,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
00258bed0c6e87a14e33c3eebffc48c898135698,mantel clock,front,front,"[0.0, 0.0, 1.0]",True,True,0.82,category_semantics_verified_axis,promoted_front
002f87c8e4e2b870387e095797a2f40b30e7baec,throw pillow,front,front,"[0.0, 0.0, 1.0]",True,True,0.82,category_semantics_verified_axis,promoted_front
0030aabddff541fbd378e38ae2d8597aecbfc757,coffee table,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
0034b3becda06d5dbecdf52f1842e5069e126af2,pendant lamp,,down,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_down
00366b86401aa16b702c21de49fd59b75ab9c57b,sofa,front,front,"[0.0, 0.0, 1.0]",True,True,0.72,geometry_axis_verified,preserved
00386b5179df69aec660a71fb9c65b344857d016,vase,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
003949689122adfc2370d64c0615edc1b257db83,rug,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
0039699ff96422d70b73397371664863025d75e8,wall art,front,front,"[0.0, 0.0, 1.0]",True,True,0.82,category_semantics_verified_axis,promoted_front
0040287f3af79d7b02985600e23469d319007792,place mat,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
0042224f50400c921142bc9777c28823dfc728ab,wall art,front,front,"[0.0, 0.0, 1.0]",True,True,0.82,category_semantics_verified_axis,promoted_front
004315b97305e4c6986491dfc1057ae72b91537e,dining table,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
00474f62f75a5047b51a4e6f7072a51d0d00afef,dining table,,up,"[0.0, 0.0, 1.0]",False,False,0.2,functional_direction_not_canonical_front,promoted_functional_up
